Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,Training_Tine,total_neurons,shape
Bp,simulation9,0.0013378446456044912,0.02771514467895031,"[['SiLU', 32], ['SiLU', 32]]",False,100,1421.9839,80,funnel
Bp,simulation5,0.0011417261557653546,0.03097289800643921,"[['SiLU', 16], ['SiLU', 16]]",False,1000,1344.2663,112,funnel
Bp,batch_results.png,0.0011417261557653546,0.03097289800643921,"[['SiLU', 16], ['SiLU', 16]]",False,1000,1344.2663,112,funnel
Bp,simulation4,0.0005999098066240549,0.00991009920835495,"[['SiLU', 16], ['SiLU', 16]]",True,1000,2108.4859,112,funnel
Bp,simulation8,0.0008005342679098248,0.017816245555877686,"[['SiLU', 32], ['SiLU', 32]]",True,100,2112.7086,80,funnel
Bp,simulation2,0.001457241945900023,0.027526170015335083,"[['SiLU', 16], ['SiLU', 16]]",True,100,2254.5034,112,funnel
Bp,simulation19,0.04656793922185898,0.5896409749984741,"[['Tanh', 32], ['Tanh', 32]]",False,10,1401.137,80,funnel
Bp,simulation18,0.04119838401675224,0.6008040904998779,"[['Tanh', 32], ['Tanh', 32]]",True,10,1984.1689,80,funnel
Bp,simulation15,0.0013465946540236473,0.02563992142677307,"[['Tanh', 16], ['Tanh', 16]]",False,100,1394.1669,112,funnel
Bp,simulation12,0.018057992681860924,0.2634219527244568,"[['Tanh', 16], ['Tanh', 16]]",True,10,1992.3163,112,funnel
Bp,simulation23,0.0009813793003559113,0.008303061127662659,"[['Tanh', 32], ['Tanh', 32]]",False,1000,1408.0339,80,funnel
Bp,simulation20,0.0016049908008426428,0.01792493462562561,"[['Tanh', 32], ['Tanh', 32]]",True,100,2198.8303,80,funnel
Bp,simulation11,0.0009823532309383154,0.02308720350265503,"[['SiLU', 32], ['SiLU', 32]]",False,1000,1324.7089,80,funnel
Bp,simulation10,0.0007701826980337501,0.015779972076416016,"[['SiLU', 32], ['SiLU', 32]]",True,1000,2293.7393,80,funnel
Bp,simulation0,0.016797225922346115,0.25426995754241943,"[['SiLU', 16], ['SiLU', 16]]",True,10,2121.2564,112,funnel
Bp,simulation1,0.010727780871093273,0.2618940770626068,"[['SiLU', 16], ['SiLU', 16]]",False,10,1355.2503,112,funnel
Bp,simulation3,0.0010362952016294003,0.021081924438476562,"[['SiLU', 16], ['SiLU', 16]]",False,100,1257.7058,112,funnel
Bp,simulation16,0.0024394334759563208,0.005000889301300049,"[['Tanh', 16], ['Tanh', 16]]",True,1000,2186.7527,112,funnel
Bp,simulation6,0.019559545442461967,0.2689436674118042,"[['SiLU', 32], ['SiLU', 32]]",True,10,2275.528,80,funnel
Bp,simulation22,0.002559866989031434,0.012268435209989548,"[['Tanh', 32], ['Tanh', 32]]",True,1000,1975.8797,80,funnel
Bp,simulation14,0.0014449453447014093,0.01862417161464691,"[['Tanh', 16], ['Tanh', 16]]",True,100,1988.3957,112,funnel
Bp,simulation21,0.0016239266842603683,0.10588878393173218,"[['Tanh', 32], ['Tanh', 32]]",False,100,1309.4638,80,funnel
Bp,simulation7,0.06083244830369949,0.845567524433136,"[['SiLU', 32], ['SiLU', 32]]",False,10,1256.2512,80,funnel
Bp,simulation17,0.0008011843892745674,0.04083472490310669,"[['Tanh', 16], ['Tanh', 16]]",False,1000,1303.1027,112,funnel
Bp,simulation13,0.023946788161993027,0.5616466999053955,"[['Tanh', 16], ['Tanh', 16]]",False,10,1401.1634,112,funnel
